date_key,year,quarter,quarter_name,month,month_name,year_month,year_quarter,week_of_year,day_of_week,is_weekend,is_month_end
2018-06-23,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,25,5,1,0
2018-06-24,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,25,6,1,0
2018-06-25,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,26,0,0,0
2018-06-26,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,26,1,0,0
2018-06-27,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,26,2,0,0
2018-06-28,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,26,3,0,0
2018-06-29,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,26,4,0,0
2018-06-30,2018,2,Q2,6,Tháng 6,2018-06,2018Q2,26,5,1,1
2018-07-01,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,26,6,1,0
2018-07-02,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,27,0,0,0
2018-07-03,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,27,1,0,0
2018-07-04,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,27,2,0,0
2018-07-05,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,27,3,0,0
2018-07-06,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,27,4,0,0
2018-07-07,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,27,5,1,0
2018-07-08,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,27,6,1,0
2018-07-09,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,28,0,0,0
2018-07-10,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,28,1,0,0
2018-07-11,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,28,2,0,0
2018-07-12,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,28,3,0,0
2018-07-13,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,28,4,0,0
2018-07-14,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,28,5,1,0
2018-07-15,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,28,6,1,0
2018-07-16,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,29,0,0,0
2018-07-17,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,29,1,0,0
2018-07-18,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,29,2,0,0
2018-07-19,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,29,3,0,0
2018-07-20,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,29,4,0,0
2018-07-21,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,29,5,1,0
2018-07-22,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,29,6,1,0
2018-07-23,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,30,0,0,0
2018-07-24,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,30,1,0,0
2018-07-25,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,30,2,0,0
2018-07-26,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,30,3,0,0
2018-07-27,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,30,4,0,0
2018-07-28,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,30,5,1,0
2018-07-29,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,30,6,1,0
2018-07-30,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,31,0,0,0
2018-07-31,2018,3,Q3,7,Tháng 7,2018-07,2018Q3,31,1,0,1
2018-08-01,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,31,2,0,0
2018-08-02,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,31,3,0,0
2018-08-03,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,31,4,0,0
2018-08-04,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,31,5,1,0
2018-08-05,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,31,6,1,0
2018-08-06,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,32,0,0,0
2018-08-07,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,32,1,0,0
2018-08-08,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,32,2,0,0
2018-08-09,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,32,3,0,0
2018-08-10,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,32,4,0,0
2018-08-11,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,32,5,1,0
2018-08-12,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,32,6,1,0
2018-08-13,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,33,0,0,0
2018-08-14,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,33,1,0,0
2018-08-15,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,33,2,0,0
2018-08-16,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,33,3,0,0
2018-08-17,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,33,4,0,0
2018-08-18,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,33,5,1,0
2018-08-19,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,33,6,1,0
2018-08-20,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,34,0,0,0
2018-08-21,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,34,1,0,0
2018-08-22,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,34,2,0,0
2018-08-23,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,34,3,0,0
2018-08-24,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,34,4,0,0
2018-08-25,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,34,5,1,0
2018-08-26,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,34,6,1,0
2018-08-27,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,35,0,0,0
2018-08-28,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,35,1,0,0
2018-08-29,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,35,2,0,0
2018-08-30,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,35,3,0,0
2018-08-31,2018,3,Q3,8,Tháng 8,2018-08,2018Q3,35,4,0,1
2018-09-01,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,35,5,1,0
2018-09-02,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,35,6,1,0
2018-09-03,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,36,0,0,0
2018-09-04,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,36,1,0,0
2018-09-05,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,36,2,0,0
2018-09-06,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,36,3,0,0
2018-09-07,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,36,4,0,0
2018-09-08,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,36,5,1,0
2018-09-09,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,36,6,1,0
2018-09-10,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,37,0,0,0
2018-09-11,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,37,1,0,0
2018-09-12,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,37,2,0,0
2018-09-13,2018,3,Q3,9,Tháng 9,2018-09,2018Q3,37,3,0,0
